0,1,2,3,4,5,6,7
"1.12. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ В ВОЗРАСТЕ 65 ЛЕТ И БОЛЕЕ
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ
на 1 января 2024 г.",,,,,,,Содержание
,,,,,,,
,"Всё
население,
человек",в том числе:,,"В процентах к общей численности
населения соответствующего разреза",,,
,,"городское
население","сельское
население","всё
население","городское
население","сельское
население",
Российская Федерация,24994252,18633382,6360870,17.1,17,17.4,
Центральный федеральный округ,7560100,6118948,1441152,18.8,18.5,20.1,
Белгородская область,283110,171781,111329,18.9,17.5,21.4,
Брянская область,212695,150082,62613,18.6,18.8,18.1,
Владимирская область,262115,197397,64718,20,19.4,22,
Воронежская область,444746,290707,154039,19.6,18.7,21.5,
Ивановская область,181556,145755,35801,20,19.6,22.1,
Калужская область,197204,147459,49745,18.5,18.4,18.5,
Костромская область,112646,79473,33173,19.9,18.8,23,
Курская область,204713,135639,69074,19.3,18.6,20.8,
Липецкая область,210817,127702,83115,18.9,18.2,20,
Московская область,1368486,1031577,336909,15.8,15.3,17.7,
Орловская область,138087,92204,45883,19.9,20,19.8,
Рязанская область,222323,153538,68785,20.5,19.9,22.2,
Смоленская область,170646,122652,47994,19.8,19.5,20.3,
Тамбовская область,204222,120922,83300,21.4,20.9,22.1,
Тверская область,239907,178654,61253,20,19.5,21.5,
Тульская область,312821,230110,82711,21.3,21.4,20.8,
Ярославская область,230362,179652,50710,19.4,18.7,22.3,
г. Москва,2563644,2563644,–,19.5,19.5,–,
Северо-Западный федеральный округ,2487011,2087044,399967,18,17.7,19.4,
Республика Карелия,102785,78733,24052,19.6,18.8,22.9,
Республика Коми,115720,86946,28774,16.1,15.5,18,
Архангельская область,188594,138023,50571,18.9,17.7,23,
Ненецкий автономный округ,5112,3626,1486,12.1,11.5,14,
Архангельская область без автономии,183482,134397,49085,19.2,18,23.5,
Вологодская область,198933,135373,63560,17.7,16.6,20.7,
Калининградская область,174539,138818,35721,16.9,17.5,14.7,
Ленинградская область,366289,245357,120932,18,17.9,18.3,
Мурманская область,94741,89828,4913,14.4,14.7,10.7,
Новгородская область,111820,77899,33921,19.6,18.6,22.2,
Псковская область,117233,79710,37523,20.2,19.4,22.1,
 г. Санкт-Петербург,1016357,1016357,–,18.2,18.2,–,
Южный федеральный округ,2926868,1826414,1100454,17.6,17.4,18,
