0,1,2,3,4,5,6
"13.1. ЧИСЛЕННОСТЬ МУЖЧИН И ЖЕНЩИН
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ
на 1 января 2024 г.",,,,,,Содержание
,,,,,,
"Сельское
население",Тыс. человек,,"Удельный вес
в общей численности населения, процент",,"На 1000
мужчин
приходится
женщин",
,мужчины,женщины,мужчины,женщины,,
Российская Федерация,17703.4,18920.5,48.3,51.7,1069,
Центральный федеральный округ,3441,3726.2,48,52,1083,
Белгородская область,251.3,269.1,48.3,51.7,1071,
Брянская область,166.2,180,48,52,1083,
Владимирская область,139.5,154,47.5,52.5,1104,
Воронежская область,339.2,377.6,47.3,52.7,1113,
Ивановская область,78.1,83.9,48.2,51.8,1073,
Калужская область,131.8,137.1,49,51,1040,
Костромская область,68.6,75.8,47.5,52.5,1104,
Курская область,157.8,173.6,47.6,52.4,1100,
Липецкая область,197.6,217,47.7,52.3,1099,
Московская область,926,978.8,48.6,51.4,1057,
Орловская область,109.3,122.4,47.2,52.8,1120,
Рязанская область,147.7,162.2,47.6,52.4,1099,
Смоленская область,113.1,123,47.9,52.1,1088,
Тамбовская область,180.5,197.3,47.8,52.2,1092,
Тверская область,138.5,146,48.7,51.3,1055,
Тульская область,188.1,208.6,47.4,52.6,1110,
Ярославская область,107.7,119.8,47.4,52.6,1111,
г. Москва,–,–,–,–,–,
Северо-Западный федеральный округ,1000.1,1064.5,48.4,51.6,1064,
Республика Карелия,49.9,55.2,47.5,52.5,1105,
Республика Коми,76.8,82.7,48.2,51.8,1075,
Архангельская область,106.6,113.4,48.5,51.5,1064,
Ненецкий автономный округ,5.4,5.2,50.3,49.7,989,
Архангельская область без автономии,101.2,108.2,48.4,51.6,1068,
Вологодская область,149.2,157.4,48.7,51.3,1054,
Калининградская область,118.6,124.1,48.9,51.1,1046,
Ленинградская область,320.2,342.1,48.4,51.6,1068,
Мурманская область,24.6,21.2,53.6,46.4,865,
Новгородская область,72.8,80.2,47.5,52.5,1103,
Псковская область,81.4,88.2,48,52,1085,
 г. Санкт-Петербург,–,–,–,–,–,
Южный федеральный округ,2926,3182.3,47.9,52.1,1088,
Республика Адыгея,122.9,134.1,47.8,52.2,1091,
Республика Калмыкия,72.3,69.2,51.1,48.9,955,
Республика Крым,448.9,502.1,47.2,52.8,1118,
Краснодарский край,1183.8,1308,47.5,52.5,1105,
Астраханская область,165.6,176.1,48.4,51.6,1064,
Волгоградская область,268.5,279.2,49,51,1040,
Ростовская область,643.6,692.5,48.2,51.8,1076,
г. Севастополь,20.4,21.1,49.1,50.9,1036,
Северо-Кавказский федеральный округ,2470.4,2560.8,49.1,50.9,1037,
Республика Дагестан,877.4,894.6,49.5,50.5,1020,
Республика Ингушетия,118.1,119.1,49.8,50.2,1009,
Кабардино-Балкарская Республика,213.3,223.9,48.8,51.2,1050,
Карачаево-Черкесская Республика,132.7,141.7,48.4,51.6,1067,
Республика Северная Осетия – Алания,120.7,128.6,48.4,51.6,1064,
Чеченская Республика,464.5,466.1,49.9,50.1,1003,
Ставропольский край,543.7,586.8,48.1,51.9,1079,
Приволжский федеральный округ,3820.6,4056.5,48.5,51.5,1062,
Республика Башкортостан,743.3,776.6,48.9,51.1,1045,
Республика Марий Эл,101.9,104.8,49.3,50.7,1029,
Республика Мордовия,135.3,142.6,48.7,51.3,1054,
Республика Татарстан,457.3,476.5,49,51,1042,
Удмуртская Республика,236.3,254.8,48.1,51.9,1078,
Чувашская Республика,205.7,208.2,49.7,50.3,1012,
Пермский край,291.9,312.2,48.3,51.7,1069,
Кировская область,115.3,125.4,47.9,52.1,1087,
Нижегородская область,293.3,317.5,48,52,1083,
Оренбургская область,351.9,380.1,48.1,51.9,1080,
Пензенская область,183,201.8,47.6,52.4,1102,
Самарская область,310.8,333.6,48.2,51.8,1074,
Саратовская область,266.8,282.3,48.6,51.4,1059,
Ульяновская область,127.8,140.1,47.7,52.3,1097,
Уральский федеральный округ,1054,1137.3,48.1,51.9,1079,
Курганская область,127.5,140.7,47.5,52.5,1104,
Свердловская область,285.8,310.5,47.9,52.1,1087,
Тюменская область,357.8,374.8,48.9,51.1,1047,
Ханты-Мансийский авт. округ – Югра,68.1,66.7,50.5,49.5,980,
Ямало-Ненецкий авт. округ,37.5,39,49.1,50.9,1035,
Тюменская область без автономий,252.2,269.1,48.4,51.6,1067,
Челябинская область,282.9,311.3,47.6,52.4,1100,
Сибирский федеральный округ,1983.2,2141.2,48.1,51.9,1080,
Республика Алтай,70.3,76,48.1,51.9,1079,
Республика Тыва,72.9,76.4,48.8,51.2,1049,
Республика Хакасия,78.8,85.5,48,52,1085,
Алтайский край,413.1,465.1,47,53,1126,
Красноярский край,278.7,297.1,48.4,51.6,1067,
Иркутская область,257.7,268.8,48.9,51.1,1043,
Кемеровская область – Кузбасс,167.1,175.6,48.7,51.3,1052,
Новосибирская область,270.9,293.2,48,52,1082,
Омская область,230.5,245.8,48.4,51.6,1066,
Томская область,143.2,157.7,47.6,52.4,1101,
Дальневосточный федеральный округ,1008.1,1051.7,48.9,51.1,1043,
Республика Бурятия,192.8,204.6,48.5,51.5,1061,
Республика Саха (Якутия),158.6,166.1,48.9,51.1,1046,
Забайкальский край,145.3,152,48.9,51.1,1046,
Камчатский край,31.2,31.8,49.5,50.5,1020,
Приморский край,189.5,200.3,48.6,51.4,1056,
Хабаровский край,106,104.8,50.3,49.7,990,
Амурская область,115.2,120.9,48.8,51.2,1048,
Магаданская область,2.5,2.2,52.9,47.1,890,
Сахалинская область,37.9,40.9,48.1,51.9,1081,
Еврейская автономная область,21.8,20.7,51.1,48.9,956,
Чукотский автономный округ,7.3,7.4,49.6,50.4,1018,
