0,1,2,3,4,5,6,7,8
"1.5. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ
ПО ПОЛУ И ОСНОВНЫМ ВОЗРАСТНЫМ ГРУППАМ
на 1 января 2024 г.",,,,,,,,Содержание
,,,,,,,,
,"Всё население, тыс. человек","в том числе
в возрасте:",,,"Удельный вес возрастных групп
в общей численности населения,          в процентах",,,
,,"моложе
трудосп.",трудосп.,"старше
трудосп.","моложе
трудосп.",трудосп.,"старше
трудосп.",
Всё население,,,,,,,,
 мужчины и женщины,146150.8,26845.8,84711.5,34593.5,18.4,58,23.6,
 мужчины ,67917.4,13809.4,43612.1,10495.899999999994,20.3,64.2,15.5,
 женщины,78233.4,13036.4,41099.4,24097.600000000006,16.7,52.5,30.8,
Городское население,,,,,,,,
 мужчины и женщины,109526.9,19855.9,64085.5,25585.5,18.1,58.5,23.4,
 мужчины ,50214,10212.4,32451.4,7550.199999999997,20.3,64.6,15.1,
 женщины,59312.9,9643.500000000002,31634.1,18035.300000000003,16.3,53.3,30.4,
Сельское население,,,,,,,,
 мужчины и женщины,36623.9,6989.899999999998,20626,9008,19.1,56.3,24.6,
 мужчины ,17703.4,3597,11160.699999999997,2945.699999999997,20.3,63,16.7,
 женщины,18920.5,3392.899999999998,9465.300000000003,6062.300000000003,17.9,50,32.1,
