0,1,2,3,4
"1.6. СООТНОШЕНИЕ ЧИСЛЕННОСТИ МУЖЧИН И ЖЕНЩИН РОССИЙСКОЙ ФЕДЕРАЦИИ
ПО ОТДЕЛЬНЫМ ВОЗРАСТНЫМ ГРУППАМ
на 1 января 2024 г.",,,,Содержание
(на 1000 мужчин приходится женщин),,,,
,,,,
"Возраст
(лет)","Всё
население","Городское
население","Сельское
население",
0 – 4,943,943,944,
5 – 9,943,944,942,
10 – 14,944,944,944,
15 – 19,952,956,940,
20 – 24,932,941,906,
25 – 29,969,999,885,
30 – 34,1014,1051,895,
35 – 39,1032,1068,918,
40 – 44,1066,1097,967,
45 – 49,1106,1135,1018,
50 – 54,1128,1159,1043,
55 – 59,1209,1259,1090,
60 – 64,1341,1420,1163,
65 – 69,1519,1610,1303,
70 лет и более,2124,2183,1953,
Всё население,1152,1181,1069,
моложе трудоспособного,944,944,943,
в трудоспособном,942,975,848,
старше трудоспособного,2296,2389,2058,
