0,1,2,3,4,5,6,7,8,9,10,11
"1.7. ДОЛЯ ГОРОДСКОГО И СЕЛЬСКОГО НАСЕЛЕНИЯ В ОБЩЕЙ ЧИСЛЕННОСТИ НАСЕЛЕНИЯ
И В ЧИСЛЕННОСТИ НАСЕЛЕНИЯ В ТРУДОСПОСОБНОМ ВОЗРАСТЕ
на 1 января 2024 г.",,,,,,,,,,,Содержание
,,,,,,,,,,,
,"Всё население, человек",,,,,в том числе в трудоспособном возрасте,,,,,
,"всё
население","городское
население","сельское
население",доля в процентах,,"всё
население","городское
население","сельское
население",доля в процентах,,
,,,,"городское
население","сельское
население",,,,"городское
население","сельское
население",
Российская Федерация,146150789,109526940,36623849,74.9,25.1,84711523,64085457,20626066,75.7,24.3,
Центральный федеральный округ,40198659,33031478,7167181,82.2,17.8,23244776,19141052,4103724,82.3,17.7,
Белгородская область,1500659,980243,520416,65.3,34.7,862829,574368,288461,66.6,33.4,
Брянская область,1142404,796237,346167,69.7,30.3,654870,452707,202163,69.1,30.9,
Владимирская область,1309942,1016415,293527,77.6,22.4,742715,578909,163806,77.9,22.1,
Воронежская область,2273417,1556609,716808,68.5,31.5,1305940,906603,399337,69.4,30.6,
Ивановская область,905900,743923,161977,82.1,17.9,514150,424412,89738,82.5,17.5,
Калужская область,1068410,799470,268940,74.8,25.2,618834,461961,156873,74.7,25.3,
Костромская область,566266,421858,144408,74.5,25.5,305405,232591,72814,76.2,23.8,
Курская область,1060892,729497,331395,68.8,31.2,598101,415815,182286,69.5,30.5,
Липецкая область,1116265,701658,414607,62.9,37.1,638516,405518,232998,63.5,36.5,
Московская область,8651260,6746477,1904783,78,22,5154830,3989407,1165423,77.4,22.6,
Орловская область,692486,460807,231679,66.5,33.5,392056,265500,126556,67.7,32.3,
Рязанская область,1082231,772290,309941,71.4,28.6,612176,441241,170935,72.1,27.9,
Смоленская область,863987,627931,236056,72.7,27.3,494367,360684,133683,73,27,
Тамбовская область,956292,578544,377748,60.5,39.5,543143,332063,211080,61.1,38.9,
Тверская область,1199747,915193,284554,76.3,23.7,674507,517135,157372,76.7,23.3,
Тульская область,1471140,1074386,396754,73,27,839338,612382,226956,73,27,
Ярославская область,1187558,960137,227421,80.8,19.2,669502,546259,123243,81.6,18.4,
г. Москва,13149803,13149803,–,100,–,7623497,7623497,–,100,–,
Северо-Западный федеральный округ,13840352,11775855,2064497,85.1,14.9,8167660,6995666,1171994,85.7,14.3,
Республика Карелия,523856,418765,105091,79.9,20.1,292967,237458,55509,81.1,18.9,
Республика Коми,720610,561102,159508,77.9,22.1,421367,334417,86950,79.4,20.6,
Архангельская область,998072,778127,219945,78,22,563376,450826,112550,80,20,
Ненецкий автономный округ,42224,31582,10642,74.8,25.2,25412,19357,6055,76.2,23.8,
Архангельская область без автономии,955848,746545,209303,78.1,21.9,537964,431469,106495,80.2,19.8,
Вологодская область,1121343,814829,306514,72.7,27.3,630702,465850,164852,73.9,26.1,
Калининградская область,1033914,791229,242685,76.5,23.5,612138,465181,146957,76,24,
Ленинградская область,2035762,1373533,662229,67.5,32.5,1247381,847285,400096,67.9,32.1,
Мурманская область,656438,610635,45803,93,7,398064,368642,29422,92.6,7.4,
Новгородская область,571447,418394,153053,73.2,26.8,318855,235854,83001,74,26,
Псковская область,581147,411478,169669,70.8,29.2,325647,232990,92657,71.5,28.5,
 г. Санкт-Петербург,5597763,5597763,–,100,–,3357163,3357163,–,100,–,
Южный федеральный округ,16624081,10515808,6108273,63.3,36.7,9634104,6154131,3479973,63.9,36.1,
Республика Адыгея,500591,243610,256981,48.7,51.3,290465,142504,147961,49.1,50.9,
Республика Калмыкия,266770,125275,141495,47,53,154625,70683,83942,45.7,54.3,
Республика Крым,1909499,958534,950965,50.2,49.8,1079257,544810,534447,50.5,49.5,
Краснодарский край,5833002,3341225,2491777,57.3,42.7,3347890,1934406,1413484,57.8,42.2,
Астраханская область,946429,604707,341722,63.9,36.1,542816,347571,195245,64,36,
Волгоградская область,2453898,1906201,547697,77.7,22.3,1450489,1138746,311743,78.5,21.5,
Ростовская область,4152518,2816389,1336129,67.8,32.2,2427032,1660106,766926,68.4,31.6,
г. Севастополь,561374,519867,41507,92.6,7.4,341530,315305,26225,92.3,7.7,
Северо-Кавказский федеральный округ,10251083,5219909,5031174,50.9,49.1,6165534,3209798,2955736,52.1,47.9,
Республика Дагестан,3232224,1460173,1772051,45.2,54.8,1993675,950753,1042922,47.7,52.3,
Республика Ингушетия,527220,289978,237242,55,45,334041,186212,147829,55.7,44.3,
Кабардино-Балкарская Республика,905464,468249,437215,51.7,48.3,541975,280356,261619,51.7,48.3,
Карачаево-Черкесская Республика,468322,193948,274374,41.4,58.6,278538,115843,162695,41.6,58.4,
Республика Северная Осетия – Алания,678879,429634,249245,63.3,36.7,398428,252043,146385,63.3,36.7,
Чеченская Республика,1552866,622326,930540,40.1,59.9,904487,360443,544044,39.9,60.1,
Ставропольский край,2886108,1755601,1130507,60.8,39.2,1714390,1064148,650242,62.1,37.9,
Приволжский федеральный округ,28540832,20663709,7877123,72.4,27.6,16245892,11913216,4332676,73.3,26.7,
Республика Башкортостан,4064361,2544428,1519933,62.6,37.4,2332361,1493790,838571,64,36,
Республика Марий Эл,669854,463042,206812,69.1,30.9,376208,261393,114815,69.5,30.5,
Республика Мордовия,765891,488006,277885,63.7,36.3,443471,285951,157520,64.5,35.5,
Республика Татарстан,4003016,3069163,933853,76.7,23.3,2296031,1768550,527481,77,23,
Удмуртская Республика,1434557,943520,491037,65.8,34.2,807353,546485,260868,67.7,32.3,
Чувашская Республика,1167061,753236,413825,64.5,35.5,658093,431263,226830,65.5,34.5,
Пермский край,2495266,1891219,604047,75.8,24.2,1412830,1083291,329539,76.7,23.3,
Кировская область,1129935,889197,240738,78.7,21.3,614414,496150,118264,80.8,19.2,
Нижегородская область,3060335,2449532,610803,80,20,1734669,1396948,337721,80.5,19.5,
Оренбургская область,1828656,1096718,731938,60,40,1033504,642260,391244,62.1,37.9,
Пензенская область,1236113,851348,384765,68.9,31.1,699448,485989,213459,69.5,30.5,
Самарская область,3127842,2483394,644448,79.4,20.6,1797292,1433854,363438,79.8,20.2,
Саратовская область,2385163,1836052,549111,77,23,1386677,1076522,310155,77.6,22.4,
Ульяновская область,1172782,904854,267928,77.2,22.8,653541,510770,142771,78.2,21.8,
Уральский федеральный округ,12262295,10070981,2191314,82.1,17.9,7058490,5879586,1178904,83.3,16.7,
Курганская область,753002,484819,268183,64.4,35.6,395266,263983,131283,66.8,33.2,
Свердловская область,4222695,3626345,596350,85.9,14.1,2401652,2088683,312969,87,13,
Тюменская область,3890800,3158201,732599,81.2,18.8,2329539,1912902,416637,82.1,17.9,
Ханты-Мансийский авт. округ – Югра,1759386,1624576,134810,92.3,7.7,1084332,1000597,83735,92.3,7.7,
Ямало-Ненецкий авт. округ,515960,439508,76452,85.2,14.8,331701,286695,45006,86.4,13.6,
Тюменская область без автономий,1615454,1094117,521337,67.7,32.3,913506,625610,287896,68.5,31.5,
Челябинская область,3395798,2801616,594182,82.5,17.5,1932033,1614018,318015,83.5,16.5,
Сибирский федеральный округ,16567143,12442708,4124435,75.1,24.9,9504203,7277911,2226292,76.6,23.4,
Республика Алтай,210765,64508,146257,30.6,69.4,118550,39115,79435,33,67,
Республика Тыва,337544,188187,149357,55.8,44.2,192151,110312,81839,57.4,42.6,
Республика Хакасия,528175,363873,164302,68.9,31.1,300789,208624,92165,69.4,30.6,
Алтайский край,2115308,1237124,878184,58.5,41.5,1179601,719274,460327,61,39,
Красноярский край,2846120,2270252,575868,79.8,20.2,1670169,1364661,305508,81.7,18.3,
