0,1,2,3,4,5,6,7,8
"1.8.1. ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ 
ПО ОСНОВНЫМ ВОЗРАСТНЫМ ГРУППАМ
 на 1 января 2024 г.",,,,,,,,Содержание
,,,,,,,,
"Сельское
население","Всё
население,
тыс. человек",в том числе в возрасте:,,,"Удельный вес возрастных групп 
в общей численности населения,
в процентах",,,
,,"моложе
трудосп.",трудосп.,"старше
трудосп.","моложе
трудосп.",трудосп.,"старше
трудосп.",
Российская Федерация,36623.9,6989.9,20626,9008,19.1,56.3,24.6,
Центральный федеральный округ,7167.2,1071.5,4103.7,1992,15,57.3,27.7,
Белгородская область,520.4,81.2,288.5,150.7,15.6,55.4,29,
Брянская область,346.2,55.2,202.2,88.8,15.9,58.4,25.7,
Владимирская область,293.5,40.8,163.8,88.9,13.9,55.8,30.3,
Воронежская область,716.8,107.1,399.3,210.4,14.9,55.7,29.4,
Ивановская область,162,22.4,89.8,49.8,13.9,55.4,30.7,
Калужская область,268.9,42.7,156.8,69.4,15.9,58.3,25.8,
Костромская область,144.4,24.3,72.8,47.3,16.8,50.4,32.8,
Курская область,331.4,52.1,182.3,97,15.7,55,29.3,
Липецкая область,414.6,65.9,233,115.7,15.9,56.2,27.9,
Московская область,1904.8,272,1165.4,467.4,14.3,61.2,24.5,
Орловская область,231.7,40.3,126.6,64.8,17.4,54.6,28,
Рязанская область,309.9,45.7,171,93.2,14.7,55.2,30.1,
Смоленская область,236.1,35,133.7,67.4,14.8,56.6,28.6,
Тамбовская область,377.8,51.6,211,115.2,13.7,55.9,30.4,
Тверская область,284.5,42.5,157.4,84.6,14.9,55.3,29.8,
Тульская область,396.7,56.5,226.9,113.3,14.2,57.2,28.6,
Ярославская область,227.5,36.2,123.2,68.1,15.9,54.2,29.9,
г. Москва,–,–,–,–,–,–,–,
Северо-Западный федеральный округ,2064.6,330.2,1171.9,562.5,16,56.8,27.2,
Республика Карелия,105.1,15.6,55.4,34.1,14.8,52.8,32.4,
Республика Коми,159.5,29.5,86.9,43.1,18.5,54.5,27,
Архангельская область,220,36.6,112.6,70.8,16.6,51.2,32.2,
Ненецкий автономный округ,10.6,2.3,6,2.3,21.8,56.9,21.3,
Архангельская область без автономии,209.4,34.3,106.6,68.5,16.4,50.9,32.7,
Вологодская область,306.6,51.1,164.9,90.6,16.7,53.8,29.5,
Калининградская область,242.7,43.9,146.9,51.9,18.1,60.6,21.3,
Ленинградская область,662.3,95.9,400.1,166.3,14.5,60.4,25.1,
Мурманская область,45.8,9.2,29.5,7.1,20,64.2,15.8,
Новгородская область,153,23.4,83,46.6,15.3,54.2,30.5,
Псковская область,169.6,25,92.6,52,14.7,54.6,30.7,
 г. Санкт-Петербург,–,–,–,–,–,–,–,
Южный федеральный округ,6108.3,1104.2,3480,1524.1,18.1,57,24.9,
Республика Адыгея,257,50.3,148,58.7,19.6,57.6,22.8,
Республика Калмыкия,141.5,27.3,83.9,30.3,19.3,59.3,21.4,
Республика Крым,951,179.1,534.5,237.4,18.8,56.2,25,
Краснодарский край,2491.8,443.7,1413.5,634.6,17.8,56.7,25.5,
Астраханская область,341.7,73.7,195.2,72.8,21.6,57.1,21.3,
Волгоградская область,547.7,93.3,311.8,142.6,17,56.9,26.1,
Ростовская область,1336.1,230.7,766.9,338.5,17.3,57.4,25.3,
г. Севастополь,41.5,6.1,26.2,9.2,14.7,63.2,22.1,
Северо-Кавказский федеральный округ,5031.2,1259.3,2955.7,816.2,25,58.7,16.3,
Республика Дагестан,1772,475,1042.9,254.1,26.8,58.9,14.3,
Республика Ингушетия,237.2,66.3,147.8,23.1,28,62.3,9.7,
Кабардино-Балкарская Республика,437.2,103.3,261.6,72.3,23.6,59.8,16.6,
Карачаево-Черкесская Республика,274.4,57.7,162.6,54.1,21,59.3,19.7,
Республика Северная Осетия – Алания,249.3,51.5,146.4,51.4,20.6,58.7,20.7,
Чеченская Республика,930.6,285.9,544.1,100.6,30.7,58.5,10.8,
Ставропольский край,1130.5,219.6,650.3,260.6,19.4,57.5,23.1,
Приволжский федеральный округ,7877.1,1402.5,4332.7,2141.9,17.8,55,27.2,
Республика Башкортостан,1519.9,293.1,838.6,388.2,19.3,55.2,25.5,
Республика Марий Эл,206.7,36.2,114.8,55.7,17.5,55.5,27,
Республика Мордовия,277.9,33.9,157.6,86.4,12.2,56.7,31.1,
Республика Татарстан,933.8,159,527.5,247.3,17,56.5,26.5,
Удмуртская Республика,491.1,106.2,260.9,124,21.6,53.1,25.3,
Чувашская Республика,413.9,67.6,226.9,119.4,16.3,54.8,28.9,
Пермский край,604.1,128.1,329.5,146.5,21.2,54.6,24.2,
Кировская область,240.7,33.8,118.2,88.7,14.1,49.1,36.8,
Нижегородская область,610.8,95.6,337.8,177.4,15.7,55.3,29,
Оренбургская область,732,152.8,391.2,188,20.9,53.5,25.6,
Пензенская область,384.8,57.7,213.4,113.7,15,55.5,29.5,
Самарская область,644.4,111.5,363.4,169.5,17.3,56.4,26.3,
Саратовская область,549.1,88.2,310.2,150.7,16.1,56.5,27.4,
Ульяновская область,267.9,38.8,142.7,86.4,14.5,53.3,32.2,
Уральский федеральный округ,2191.3,460,1178.9,552.4,21,53.8,25.2,
Курганская область,268.2,52.2,131.3,84.7,19.5,49,31.5,
Свердловская область,596.3,120.6,313,162.7,20.2,52.5,27.3,
Тюменская область,732.6,163.6,416.6,152.4,22.3,56.9,20.8,
Ханты-Мансийский авт. округ – Югра,134.8,29,83.7,22.1,21.5,62.1,16.4,
Ямало-Ненецкий авт. округ,76.5,23.4,45,8.1,30.6,58.9,10.5,
Тюменская область без автономий,521.3,111.2,287.9,122.2,21.3,55.2,23.5,
Челябинская область,594.2,123.6,318,152.6,20.8,53.5,25.7,
Сибирский федеральный округ,4124.4,908.8,2226.3,989.3,22,54,24,
Республика Алтай,146.3,41.2,79.4,25.7,28.2,54.3,17.5,
Республика Тыва,149.3,51.7,81.8,15.8,34.7,54.8,10.5,
Республика Хакасия,164.3,36.2,92.2,35.9,22.1,56.1,21.8,
Алтайский край,878.2,177.8,460.3,240.1,20.2,52.4,27.4,
Красноярский край,575.8,128.6,305.5,141.7,22.3,53.1,24.6,
Иркутская область,526.5,127.4,294.7,104.4,24.2,56,19.8,
Кемеровская область – Кузбасс,342.7,64.1,189.2,89.4,18.7,55.2,26.1,
Новосибирская область,564.1,116.4,303.2,144.5,20.6,53.8,25.6,
Омская область,476.3,104.1,254.2,118,21.9,53.4,24.7,
Томская область,300.9,61.3,165.8,73.8,20.4,55.1,24.5,
Дальневосточный федеральный округ,2059.8,453.4,1176.8,429.6,22,57.1,20.9,
Республика Бурятия,397.4,100.1,221.7,75.6,25.2,55.8,19,
Республика Саха (Якутия),324.7,85.9,181.1,57.7,26.5,55.8,17.7,
Забайкальский край,297.3,68.3,168.8,60.2,23,56.8,20.2,
Камчатский край,63,11.7,37.5,13.8,18.6,59.5,21.9,
Приморский край,389.8,69.1,224.2,96.5,17.7,57.5,24.8,
Хабаровский край,210.8,42.2,126.2,42.4,20,59.8,20.2,
Амурская область,236.1,49.2,134.9,52,20.8,57.2,22,
Магаданская область,4.7,0.9,2.6,1.2,18.9,55.5,25.6,
Сахалинская область,78.8,13.3,45.4,20.1,16.9,57.6,25.5,
Еврейская автономная область,42.5,8.9,25.3,8.3,20.9,59.5,19.6,
Чукотский автономный округ,14.7,3.8,9.1,1.8,25.6,62,12.4,
