0,1,2,3,4,5,6,7,8,9,10,11,12,13
"1.9. ОБЩАЯ ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ОСНОВНЫМ ВОЗРАСТНЫМ ГРУППАМ
ПО СУБЪЕКТАМ РОССИЙСКОЙ ФЕДЕРАЦИИ
в среднем за 2023 г. ",,,,,,,,,,,,,Содержание
(человек),,,,,,,,,,,,,
,,,,,,,,,,,,,
,"Общая
численность
населения",,,в том числе в возрасте:,,,,,,,,,
,,,,"моложе
трудоспособного",,,в трудоспособном,,,"старше
трудоспособного",,,
,"всё
население","городское
население","сельское
население","всё
население","городское
население","сельское
население","всё
население","городское
население","сельское
население","всё
население","городское
население","сельское
население",
Российская Федерация,146299107,109591252,36707855,27003046,19932210,7070836,85065490,64325968,20739522,34230571,25333074,8897497,
Центральный федеральный округ,40219457,33051552,7167905,6670226,5589597,1080629,23353748,19232749,4120999,10195483,8229206,1966277,
Белгородская область,1507593,985030,522563,249211,166624,82587,869538,579014,290524,388844,239392,149452,
Брянская область,1147454,799306,348148,193953,137565,56388,659489,455566,203923,294012,206175,87837,
Владимирская область,1317726,1022798,294928,212109,170476,41633,748736,583645,165091,356881,268677,88204,
Воронежская область,2279349,1561181,718168,364098,255988,108110,1313726,912458,401268,601525,392735,208790,
Ивановская область,910313,747324,162989,145938,123121,22817,518087,427375,90712,246288,196828,49460,
Калужская область,1069632,800524,269108,179495,136583,42912,622260,464295,157965,267877,199646,68231,
Костромская область,569083,422802,146281,104908,80084,24824,308117,233656,74461,156058,109062,46996,
Курская область,1063963,730133,333830,179961,126955,53006,601547,417173,184374,282455,186005,96450,
Липецкая область,1121264,705511,415753,188412,121669,66743,643247,408942,234305,289605,174900,114705,
Московская область,8621498,6736631,1884867,1593827,1324005,269822,5157620,3997765,1159855,1870051,1414861,455190,
Орловская область,696381,463636,232745,112821,72105,40716,395356,267657,127699,188204,123874,64330,
Рязанская область,1085575,774763,310812,170227,123835,46392,615418,443515,171903,299930,207413,92517,
Смоленская область,868514,631148,237366,136053,100430,35623,498417,363447,134970,234044,167271,66773,
Тамбовская область,961271,580902,380369,135568,83028,52540,548747,335047,213700,276956,162827,114129,
Тверская область,1205465,919910,285555,198890,155796,43094,679341,520811,158530,327234,243303,83931,
Тульская область,1476305,1079132,397173,214645,157630,57015,844946,616724,228222,416714,304778,111936,
Ярославская область,1191081,963831,227250,209751,173302,36449,672683,549175,123508,308647,241354,67293,
г. Москва,13126990,13126990,–,2080439,2080439,–,7656496,7656496,–,3390055,3390055,–,
Северо-Западный федеральный округ,13853850,11779990,2073860,2254891,1920344,334547,8208522,7025944,1182578,3390437,2833702,556735,
Республика Карелия,525868,419826,106042,89941,74101,15840,295090,238766,56324,140837,106959,33878,
Республика Коми,723522,562731,160791,134882,104910,29972,424520,336188,88332,164120,121633,42487,
Архангельская область,1001880,779786,222094,179786,142468,37318,566645,452210,114435,255449,185108,70341,
Ненецкий автономный округ,41804,31207,10597,9285,6966,2319,25127,19081,6046,7392,5160,2232,
Архангельская область без автономии,960076,748579,211497,170499,135496,35003,541520,433133,108387,248057,179950,68107,
Вологодская область,1125062,816732,308330,214319,162287,52032,634144,467383,166761,276599,187062,89537,
Калининградская область,1033129,791080,242049,181737,137354,44383,613110,466182,146928,238282,187544,50738,
Ленинградская область,2029764,1365392,664372,285300,188764,96536,1249344,845960,403384,495120,330668,164452,
Мурманская область,657568,611746,45822,124448,115184,9264,398930,369518,29412,134190,127044,7146,
Новгородская область,573687,419760,153927,100751,76820,23931,320280,236696,83584,152656,106244,46412,
Псковская область,584467,414034,170433,95517,70237,25280,328366,234949,93417,160584,108848,51736,
 г. Санкт-Петербург,5598903,5598903,–,848234,848234,–,3378103,3378103,–,1372566,1372566,–,
Южный федеральный округ,16633067,10517590,6115477,3002708,1885103,1117605,9662672,6171762,3490910,3967687,2460725,1506962,
Республика Адыгея,499288,243777,255511,98544,47978,50566,290542,143243,147299,110202,52556,57646,
Республика Калмыкия,265627,124773,140854,56220,28177,28043,153463,70336,83127,55944,26260,29684,
Республика Крым,1913152,961246,951906,355236,174059,181177,1082060,546476,535584,475856,240711,235145,
Краснодарский край,5826173,3333022,2493151,1103614,655222,448392,3353069,1936006,1417063,1369490,741794,627696,
Астраханская область,948493,606830,341663,200156,125849,74307,545350,349589,195761,202987,131392,71595,
Волгоградская область,2461978,1911251,550727,396435,301155,95280,1458319,1144262,314057,607224,465834,141390,
Ростовская область,4158532,2818562,1339970,698889,465240,233649,2438331,1666700,771631,1021312,686622,334690,
г. Севастополь,559824,518129,41695,93662,87448,6214,341528,315148,26380,124634,115533,9101,
Северо-Кавказский федеральный округ,10228406,5192600,5035806,2399331,1126739,1272592,6168581,3204238,2964343,1660494,861623,798871,
Республика Дагестан,3221002,1455332,1765670,804014,327517,476497,1992611,949886,1042725,424377,177929,246448,
Республика Ингушетия,523149,287315,235834,143943,77309,66634,332213,184896,147317,46993,25110,21883,
Кабардино-Балкарская Республика,904365,467946,436419,197631,93481,104150,543727,281872,261855,163007,92593,70414,
Карачаево-Черкесская Республика,468383,193875,274508,97252,38559,58693,279125,116189,162936,92006,39127,52879,
Республика Северная Осетия – Алания,679813,429886,249927,134660,82337,52323,400368,253270,147098,144785,94279,50506,
Чеченская Республика,1543038,603533,939505,495392,203873,291519,898941,350268,548673,148705,49392,99313,
Ставропольский край,2888656,1754713,1133943,526459,303678,222781,1721616,1067866,653750,640581,383169,257412,
Приволжский федеральный округ,28612039,20701527,7910512,5238557,3817150,1421407,16342920,11969582,4373338,7030562,4914795,2115767,
Республика Башкортостан,4070980,2543398,1527582,803181,505460,297721,2344915,1497193,847722,922884,540745,382139,
