0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
Северо-Западный федеральный округ,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,13840352,6337437,7502915,11775855,5337366,6438489,2064497,1000071,1064426,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,107975,56067,51908,94947,49420,45527,13028,6647,6381,
1,113068,58160,54908,99022,50941,48081,14046,7219,6827,
2,119283,60871,58412,103767,52766,51001,15516,8105,7411,
3,118468,60799,57669,102448,52523,49925,16020,8276,7744,
4,124647,63762,60885,107428,54852,52576,17219,8910,8309,
5,135063,69712,65351,116517,60014,56503,18546,9698,8848,
6,143249,73367,69882,123189,62972,60217,20060,10395,9665,
7,160352,82197,78155,138505,71054,67451,21847,11143,10704,
8,165552,85202,80350,142531,73295,69236,23021,11907,11114,
9,160894,82724,78170,135943,69711,66232,24951,13013,11938,
10,157349,81162,76187,132345,68056,64289,25004,13106,11898,
11,159492,81976,77516,133731,68598,65133,25761,13378,12383,
12,150215,77156,73059,125627,64364,61263,24588,12792,11796,
13,149408,76509,72899,125797,64353,61444,23611,12156,11455,
14,144212,73970,70242,120369,61625,58744,23843,12345,11498,
15,137545,70520,67025,114481,58592,55889,23064,11928,11136,
16,131593,67221,64372,110939,56797,54142,20654,10424,10230,
17,126842,64758,62084,107913,55017,52896,18929,9741,9188,
18,133412,68566,64846,115554,58861,56693,17858,9705,8153,
19,137117,71033,66084,117754,60129,57625,19363,10904,8459,
20,153321,81689,71632,133298,70530,62768,20023,11159,8864,
21,148910,79851,69059,129157,69068,60089,19753,10783,8970,
22,141983,76838,65145,122839,66184,56655,19144,10654,8490,
23,152751,81370,71381,132931,70478,62453,19820,10892,8928,
24,143324,75828,67496,124913,65792,59121,18411,10036,8375,
25,134833,69646,65187,116545,59648,56897,18288,9998,8290,
26,122285,61941,60344,105192,52440,52752,17093,9501,7592,
27,136544,68765,67779,118041,58522,59519,18503,10243,8260,
28,143729,71596,72133,124566,61098,63468,19163,10498,8665,
29,136634,67389,69245,118483,57587,60896,18151,9802,8349,
30,137878,67526,70352,119666,57850,61816,18212,9676,8536,
31,155789,75921,79868,135022,65053,69969,20767,10868,9899,
32,178164,87407,90757,154325,74905,79420,23839,12502,11337,
33,218728,108055,110673,190158,92738,97420,28570,15317,13253,
34,231984,114156,117828,201495,98044,103451,30489,16112,14377,
35,243183,119530,123653,211280,102625,108655,31903,16905,14998,
36,258420,127340,131080,223898,109067,114831,34522,18273,16249,
37,258387,126972,131415,223557,108489,115068,34830,18483,16347,
38,261936,129083,132853,227271,110611,116660,34665,18472,16193,
39,246080,121132,124948,212938,103672,109266,33142,17460,15682,
40,248873,120642,128231,215230,103049,112181,33643,17593,16050,
41,236498,114446,122052,202966,96844,106122,33532,17602,15930,
42,223545,107786,115759,191576,91197,100379,31969,16589,15380,
43,242849,117878,124971,208146,99688,108458,34703,18190,16513,
44,217855,104996,112859,186649,88719,97930,31206,16277,14929,
45,215754,103478,112276,183890,86894,96996,31864,16584,15280,
46,203795,96638,107157,174661,81582,93079,29134,15056,14078,
47,211924,100540,111384,181099,84755,96344,30825,15785,15040,
48,207998,98138,109860,177125,82448,94677,30873,15690,15183,
49,198264,93342,104922,169123,78501,90622,29141,14841,14300,
50,189595,89253,100342,161702,75318,86384,27893,13935,13958,
51,192366,89871,102495,163914,75462,88452,28452,14409,14043,
52,183774,85493,98281,156396,71845,84551,27378,13648,13730,
53,189282,88300,100982,160440,73960,86480,28842,14340,14502,
54,173740,79912,93828,146389,66553,79836,27351,13359,13992,
55,171655,78419,93236,144182,65094,79088,27473,13325,14148,
56,161094,72106,88988,134446,59310,75136,26648,12796,13852,
57,166716,74202,92514,138486,60923,77563,28230,13279,14951,
58,179976,79950,100026,148677,65181,83496,31299,14769,16530,
59,175949,76178,99771,145276,61857,83419,30673,14321,16352,
60,188003,81062,106941,154725,65553,89172,33278,15509,17769,
61,190333,79956,110377,156165,64072,92093,34168,15884,18284,
62,196557,81110,115447,161148,64848,96300,35409,16262,19147,
63,210962,86958,124004,172509,69557,102952,38453,17401,21052,
64,195385,77948,117437,159509,62035,97474,35876,15913,19963,
65,191813,75117,116696,155644,59395,96249,36169,15722,20447,
66,183562,70229,113333,149981,55760,94221,33581,14469,19112,
67,180416,68567,111849,147692,54764,92928,32724,13803,18921,
68,179239,66584,112655,147957,53711,94246,31282,12873,18409,
69,171042,61925,109117,141182,49773,91409,29860,12152,17708,
70,151393,53446,97947,126213,43321,82892,25180,10125,15055,
71,149871,52227,97644,125211,42569,82642,24660,9658,15002,
72,141034,47786,93248,118387,39127,79260,22647,8659,13988,
73,139564,47643,91921,117007,39091,77916,22557,8552,14005,
74,135998,44473,91525,114736,36583,78153,21262,7890,13372,
75,106249,33654,72595,91202,28282,62920,15047,5372,9675,
76,98105,30341,67764,84747,25655,59092,13358,4686,8672,
77,90861,28257,62604,79519,24425,55094,11342,3832,7510,
78,59603,18958,40645,52776,16683,36093,6827,2275,4552,
79,38570,11413,27157,33903,9976,23927,4667,1437,3230,
80,28353,8324,20029,24566,7230,17336,3787,1094,2693,
81,35116,9156,25960,29537,7702,21835,5579,1454,4125,
82,56868,14027,42841,48058,11770,36288,8810,2257,6553,
83,54720,13934,40786,46933,11963,34970,7787,1971,5816,
84,58801,14050,44751,50462,12070,38392,8339,1980,6359,
85,53360,11972,41388,46004,10367,35637,7356,1605,5751,
86,49366,11202,38164,42897,9774,33123,6469,1428,5041,
87,31127,6889,24238,26612,5947,20665,4515,942,3573,
88,24309,5291,19018,20503,4488,16015,3806,803,3003,
89,16311,3458,12853,13795,2975,10820,2516,483,2033,
90,14006,2702,11304,11759,2276,9483,2247,426,1821,
91,14840,2947,11893,12379,2518,9861,2461,429,2032,
92,9512,1906,7606,7960,1639,6321,1552,267,1285,
93,7359,1492,5867,6158,1263,4895,1201,229,972,
94,4599,836,3763,3859,716,3143,740,120,620,
95,3355,631,2724,2777,544,2233,578,87,491,
96,2406,533,1873,2034,461,1573,372,72,300,
97,1778,369,1409,1519,315,1204,259,54,205,
98,1200,244,956,1017,217,800,183,27,156,
99,766,138,628,670,123,547,96,15,81,
100 и более,1539,347,1192,1388,307,1081,151,40,111,
моложе трудоспособного,2246772,1154154,1092618,1916647,983136,933511,330125,171018,159107,
трудоспособного,8167660,4197309,3970351,6995666,3548858,3446808,1171994,648451,523543,
старше трудоспособного,3425920,985974,2439946,2863542,805372,2058170,562378,180602,381776,
