0,1,2,3,4,5,6,7,8,9,10
"ЧИСЛЕННОСТЬ НАСЕЛЕНИЯ ПО ПОЛУ И ВОЗРАСТУ  
 на 1 января 2024 года ",,,,,,,,,,Содержание
 г. Санкт-Петербург,,,,,,,,,,
(человек),,,,,,,,,,
,,,,,,,,,,
,Всё население,,,Городское население,,,Сельское население,,,
,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,"мужчины
и женщины ",мужчины,женщины,
Всего,5597763,2523105,3074658,5597763,2523105,3074658,–,–,–,
"в том числе в возрасте, лет",,,,,,,,,,
до 1 ,46903,24540,22363,46903,24540,22363,,,,
1,48006,24731,23275,48006,24731,23275,,,,
2,49462,24956,24506,49462,24956,24506,,,,
3,47937,24636,23301,47937,24636,23301,,,,
4,49779,25280,24499,49779,25280,24499,,,,
5,52855,27107,25748,52855,27107,25748,,,,
6,55506,28275,27231,55506,28275,27231,,,,
7,61280,31495,29785,61280,31495,29785,,,,
8,62674,32274,30400,62674,32274,30400,,,,
9,59871,30963,28908,59871,30963,28908,,,,
10,57125,29308,27817,57125,29308,27817,,,,
11,58018,29745,28273,58018,29745,28273,,,,
12,54149,27738,26411,54149,27738,26411,,,,
13,52756,27087,25669,52756,27087,25669,,,,
14,49626,25367,24259,49626,25367,24259,,,,
15,45408,23354,22054,45408,23354,22054,,,,
16,42816,21750,21066,42816,21750,21066,,,,
17,43939,22311,21628,43939,22311,21628,,,,
18,51225,25152,26073,51225,25152,26073,,,,
19,50371,23623,26748,50371,23623,26748,,,,
20,68560,35593,32967,68560,35593,32967,,,,
21,66009,35254,30755,66009,35254,30755,,,,
22,62782,33964,28818,62782,33964,28818,,,,
23,71073,38075,32998,71073,38075,32998,,,,
24,65982,35828,30154,65982,35828,30154,,,,
25,57432,29614,27818,57432,29614,27818,,,,
26,50661,25152,25509,50661,25152,25509,,,,
27,57390,27952,29438,57390,27952,29438,,,,
28,61288,29394,31894,61288,29394,31894,,,,
29,56067,26527,29540,56067,26527,29540,,,,
30,56023,26280,29743,56023,26280,29743,,,,
31,62928,29585,33343,62928,29585,33343,,,,
32,72607,34404,38203,72607,34404,38203,,,,
33,92335,44431,47904,92335,44431,47904,,,,
34,98029,47237,50792,98029,47237,50792,,,,
35,102018,48869,53149,102018,48869,53149,,,,
36,107458,51779,55679,107458,51779,55679,,,,
37,105417,49969,55448,105417,49969,55448,,,,
38,109643,52700,56943,109643,52700,56943,,,,
39,102110,49294,52816,102110,49294,52816,,,,
40,102814,48518,54296,102814,48518,54296,,,,
41,96145,45585,50560,96145,45585,50560,,,,
42,91581,43147,48434,91581,43147,48434,,,,
43,99744,47718,52026,99744,47718,52026,,,,
44,89433,42046,47387,89433,42046,47387,,,,
45,86329,40397,45932,86329,40397,45932,,,,
46,81858,38171,43687,81858,38171,43687,,,,
47,86031,40038,45993,86031,40038,45993,,,,
48,82677,38191,44486,82677,38191,44486,,,,
49,80802,37387,43415,80802,37387,43415,,,,
50,77285,36003,41282,77285,36003,41282,,,,
51,78931,36344,42587,78931,36344,42587,,,,
52,75652,34581,41071,75652,34581,41071,,,,
53,79964,36734,43230,79964,36734,43230,,,,
54,73344,33309,40035,73344,33309,40035,,,,
55,72503,32610,39893,72503,32610,39893,,,,
56,65857,29078,36779,65857,29078,36779,,,,
57,67434,29620,37814,67434,29620,37814,,,,
58,72028,31784,40244,72028,31784,40244,,,,
59,70384,29688,40696,70384,29688,40696,,,,
60,75309,31964,43345,75309,31964,43345,,,,
61,75466,30766,44700,75466,30766,44700,,,,
62,76327,30414,45913,76327,30414,45913,,,,
63,83162,33792,49370,83162,33792,49370,,,,
64,74828,29196,45632,74828,29196,45632,,,,
65,71533,27003,44530,71533,27003,44530,,,,
66,70483,26315,44168,70483,26315,44168,,,,
67,68289,25731,42558,68289,25731,42558,,,,
68,70196,25951,44245,70196,25951,44245,,,,
69,65501,23391,42110,65501,23391,42110,,,,
70,58519,20252,38267,58519,20252,38267,,,,
71,58126,20127,37999,58126,20127,37999,,,,
72,54090,18171,35919,54090,18171,35919,,,,
73,55104,19140,35964,55104,19140,35964,,,,
74,52927,17286,35641,52927,17286,35641,,,,
75,45729,14314,31415,45729,14314,31415,,,,
76,43087,13212,29875,43087,13212,29875,,,,
77,43415,13820,29595,43415,13820,29595,,,,
78,30650,10126,20524,30650,10126,20524,,,,
79,18770,5737,13033,18770,5737,13033,,,,
80,12577,3842,8735,12577,3842,8735,,,,
81,12574,3539,9035,12574,3539,9035,,,,
82,21562,5836,15726,21562,5836,15726,,,,
83,23650,6692,16958,23650,6692,16958,,,,
84,26177,6865,19312,26177,6865,19312,,,,
85,25040,6219,18821,25040,6219,18821,,,,
86,24445,6014,18431,24445,6014,18431,,,,
87,14512,3574,10938,14512,3574,10938,,,,
88,11278,2717,8561,11278,2717,8561,,,,
89,7856,1885,5971,7856,1885,5971,,,,
90,6548,1395,5153,6548,1395,5153,,,,
91,6863,1576,5287,6863,1576,5287,,,,
92,4791,1085,3706,4791,1085,3706,,,,
93,3751,845,2906,3751,845,2906,,,,
94,2373,478,1895,2373,478,1895,,,,
95,1696,360,1336,1696,360,1336,,,,
96,1226,307,919,1226,307,919,,,,
97,927,198,729,927,198,729,,,,
98,629,136,493,629,136,493,,,,
99,439,84,355,439,84,355,,,,
100 и более,1024,208,816,1024,208,816,,,,
моложе трудоспособного,851355,436856,414499,851355,436856,414499,–,–,–,
трудоспособного,3357163,1688830,1668333,3357163,1688830,1668333,–,–,–,
старше трудоспособного,1389245,397419,991826,1389245,397419,991826,–,–,–,
