0,1,2,3,4,5,6,7
СОДЕРЖАНИЕ,,,,,,,
,,,,,,,
1.,Численность населения ,,2.,Численность населения по полу и возрасту,,2.5.3.,Республика Мордовия
,Российской Федерации по полу и возрасту,,,по субъектам Российской Федерации,,2.5.4.,Республика Татарстан
,,,,на 1 января 2024 г.:,,2.5.5.,Удмуртская Республика
,,,,,,2.5.6.,Чувашская Республика
1.1.1., на 1 января 2024 г.                     ,,2.1.,Центральный федеральный округ,,2.5.7.,Пермский край
1.1.2., в среднем за 2023 г.                    ,,2.1.1.,Белгородская область,,2.5.8.,Кировская область
,                                           ,,2.1.2.,Брянская область,,2.5.9.,Нижегородская область
1.2.,Численность населения Российской           ,,2.1.3.,Владимирская область,,2.5.10.,Оренбургская область
,Федерации по полу и отдельным              ,,2.1.4.,Воронежская область,,2.5.11.,Пензенская область
,возрастным группам:                         ,,2.1.5.,Ивановская область,,2.5.12.,Самарская область
1.2.1.,  на 1 января 2024 г.                     ,,2.1.6.,Калужская область,,2.5.13.,Саратовская область
1.2.2.,  в среднем за 2023 г.                    ,,2.1.7.,Костромская область,,2.5.14.,Ульяновская область
,                                           ,,2.1.8.,Курская область,,,
1.3.,Возрастно-половая структура населения,,2.1.9.,Липецкая область,,2.6.,Уральский федеральный округ
,России на 1 января 2024 г. (диаграмма),,2.1.10.,Московская область,,2.6.1.,Курганская область
,,,2.1.11.,Орловская область,,2.6.2.,Свердловская область
1.4.,Возрастно-половая структура населения,,2.1.12.,Рязанская область,,2.6.3.,Тюменская область
,Россиийской Федерации на 1 января 2024 г.,,2.1.13.,Смоленская область,,2.6.4.,Ханты-Мансийский автономный округ – Югра
,(в процентах),,2.1.14.,Тамбовская область,,2.6.5.,Ямало-Ненецкий автономный округ
,,,2.1.15.,Тверская область,,2.6.6.,Тюменская область без автономных округов
1.5.,Численность населения Российской ,,2.1.16.,Тульская область,,2.6.7.,Челябинская область
,Федерации по полу и основным возрастным,,2.1.17.,Ярославская область,,,
,группам на 1 января 2024 г.,,2.1.18.,г. Москва,,2.7.,Сибирский федеральный округ
,,,,,,2.7.1.,Республика Алтай
1.6.,Соотношение численности мужчин и женщин    ,,2.2.,Северо-Западный федеральный,,2.7.2.,Республика Тыва
,Российской Федерации по отдельным          ,,2.2.1.,Республика Карелия,,2.7.3.,Республика Хакасия
,возрастным группам на 1 января 2024 г.     ,,2.2.2.,Республика Коми,,2.7.4.,Алтайский край
,                                           ,,2.2.3.,Архангельская область,,2.7.5.,Красноярский край
1.7.,Доля городского и сельского населения,,2.2.4.,Ненецкий автономный округ,,2.7.6.,Иркутская область
,в общей численности населения и в численности ,,2.2.5.,Архангельская область без автономного округа,,2.7.7.,Кемеровская область – Кузбасс
,населения в трудоспособном возрасте ,,2.2.6.,Вологодская область,,2.7.8.,Новосибирская область
,на 1 января 2024 г.                    ,,2.2.7.,Калининградская область,,2.7.9.,Oмская область
,,,2.2.8.,Ленинградская область,,2.7.10.,Томская область
1.8.,Численность населения по субъектам          ,,2.2.9.,Мурманская область,,,
,Российской Федерации по основным           ,,2.2.10.,Новгородская область,,2.8.,Дальневосточный федеральный округ 
,возрастным группам на 1 января 2024 г.:    ,,2.2.11.,Псковская область,,2.8.1.,Республика Бурятия
1.8.1.,всё население,,2.2.12.,г. Санкт-Петербург,,2.8.2.,Республика Саха (Якутия)
1.8.2.,городское население,,,,,2.8.3.,Забайкальский край
1.8.3.,сельское население,,2.3.,Южный федеральный округ,,2.8.4.,Камчатский край
,,,2.3.1.,Республика Адыгея,,2.8.5.,Приморский край
1.9.,Общая численность населения             ,,2.3.2.,Республика Калмыкия,,2.8.6.,Хабаровский край
,и в трудоспособном возрасте по субъектам        ,,2.3.3.,Республика Крым,,2.8.7.,Амурская область
,Российской Федерации в среднем за 2023 г.  ,,2.3.4.,Краснодарский край,,2.8.8.,Магаданская область
,                                           ,,2.3.5.,Астраханская область,,2.8.9.,Сахалинская область
1.10.,Демографическая нагрузка на население      ,,2.3.6.,Волгоградская область,,2.8.10.,Еврейская автономная область
,трудоспособного возраста по субъектам       ,,2.3.7.,Ростовская область,,2.8.11.,Чукотский автономный округ
,Российской Федерации на 1 января 2024 г.   ,,2.3.8.,г. Севастополь,,,
,,,,,,,
1.11.,Средний возраст населения по субъектам     ,,2.4.,Северо-Кавказский федеральный округ,,,
,Российской Федерации на 1 января 2024 г.   ,,2.4.1.,Республика Дагестан,,,
,,,2.4.2.,Республика Ингушетия,,,
1.12.,Численность населения в возрасте 65 лет,,2.4.3.,Кабардино-Балкарская Республика,,,
,и более по субъектам Российской Федерации ,,2.4.4.,Карачаево-Черкесская Республика,,,
,на 1 января 2024 года,,2.4.5.,Республика Северная Осетия – Алания,,,
,,,2.4.6.,Чеченская Республика,,,
1.13.,Численность мужчин и женщин по субъектам    ,,2.4.7.,Ставропольский край,,,
,Российской Федерации на 1 января 2024 г.:,,,,,,
1.13.1.,всё население,,2.5.,Приволжский федеральный округ,,,
1.13.2.,городское население,,2.5.1.,Республика Башкортостан,,,
1.13.3.,сельское население,,2.5.2.,Республика Марий Эл,,,
