Возраст,Пол,Доход_тыс,Образование,Населенный_пункт,Количество_детей,Занятость
32,Мужской,40.5,Среднее специальное,Село,0,Работает
29,Женский,47.3,Среднее специальное,Город,1,Работает
33,Мужской,26.3,Среднее специальное,Село,0,Работает
37,Женский,33.9,Среднее специальное,Город,2,Пенсионер
28,Мужской,62.0,Высшее,Село,1,Работает
28,Мужской,34.1,Магистратура,Город,3,Работает
37,Мужской,32.8,Высшее,Село,2,Пенсионер
33,Мужской,54.5,Среднее,Город,1,Работает
27,Женский,61.3,Среднее,Село,1,Безработный
32,Мужской,56.8,Магистратура,Село,2,Работает
27,Женский,58.4,Среднее специальное,Город,0,Пенсионер
27,Мужской,32.1,Среднее,Город,3,Работает
31,Мужской,24.2,Высшее,Село,1,Работает
20,Мужской,62.5,Высшее,Город,0,Студент
21,Женский,35.7,Высшее,Село,0,Студент
27,Мужской,39.7,Среднее специальное,Город,1,Работает
24,Женский,61.9,Среднее,Город,0,Работает
31,Женский,53.8,Магистратура,Село,2,Работает
25,Женский,49.3,Среднее специальное,Город,1,Студент
22,Женский,73.5,Высшее,Село,0,Студент
37,Женский,38.8,Высшее,Город,0,Студент
28,Женский,57.9,Высшее,Город,1,Работает
30,Женский,45.9,Среднее специальное,Город,0,Работает
22,Женский,45.0,Среднее специальное,Город,2,Студент
27,Женский,66.4,Высшее,Город,1,Пенсионер
30,Мужской,52.6,Магистратура,Город,2,Работает
24,Мужской,50.1,Магистратура,Город,1,Работает
31,Мужской,61.6,Среднее,Город,0,Пенсионер
26,Мужской,37.5,Среднее,Село,1,Работает
28,Мужской,31.4,Магистратура,Город,5,Работает
26,Женский,27.3,Высшее,Город,2,Работает
39,Женский,20.0,Магистратура,Город,1,Работает
29,Женский,75.3,Среднее специальное,Город,2,Безработный
24,Женский,25.5,Высшее,Село,3,Работает
34,Женский,43.7,Высшее,Город,1,Работает
23,Женский,37.3,Высшее,Город,3,Работает
31,Женский,50.1,Среднее специальное,Город,0,Работает
20,Мужской,52.2,Среднее,Город,2,Студент
23,Мужской,54.4,Высшее,Село,0,Работает
30,Мужской,36.3,Среднее специальное,Город,3,Работает
33,Мужской,44.0,Среднее специальное,Село,2,Работает
30,Женский,49.2,Магистратура,Город,4,Работает
29,Женский,40.8,Среднее специальное,Город,1,Работает
28,Женский,68.1,Высшее,Село,3,Пенсионер
22,Мужской,48.4,Среднее,Город,0,Студент
26,Женский,54.0,Высшее,Город,2,Пенсионер
27,Женский,53.4,Магистратура,Город,1,Работает
35,Женский,65.1,Среднее,Город,1,Работает
31,Мужской,48.2,Среднее,Город,0,Работает
21,Женский,21.0,Среднее специальное,Город,1,Студент
31,Мужской,51.5,Среднее,Город,0,Работает
28,Мужской,34.2,Высшее,Город,0,Работает
26,Мужской,35.1,Магистратура,Город,2,Студент
33,Мужской,55.3,Среднее специальное,Город,0,Работает
35,Женский,66.1,Среднее специальное,Город,0,Работает
34,Мужской,47.3,Среднее специальное,Город,3,Пенсионер
25,Мужской,47.1,Высшее,Село,2,Работает
28,Женский,69.5,Среднее,Город,1,Пенсионер
31,Женский,49.1,Высшее,Село,4,Безработный
34,Мужской,86.0,Высшее,Город,2,Студент
27,Женский,52.0,Высшее,Город,3,Работает
29,Мужской,18.1,Среднее специальное,Город,2,Безработный
24,Мужской,53.3,Высшее,Город,1,Работает
24,Мужской,47.7,Среднее,Город,2,Работает
34,Мужской,66.3,Среднее,Город,3,Работает
36,Женский,58.1,Магистратура,Город,2,Работает
29,Мужской,42.4,Высшее,Село,1,Работает
35,Женский,29.1,Среднее,Город,2,Работает
31,Женский,42.4,Среднее специальное,Город,2,Пенсионер
26,Женский,30.2,Среднее специальное,Село,1,Безработный
31,Женский,36.8,Среднее специальное,Город,1,Безработный
37,Мужской,57.3,Среднее специальное,Город,0,Работает
29,Женский,69.5,Среднее,Город,1,Безработный
37,Мужской,54.4,Среднее специальное,Село,0,Работает
18,Женский,21.1,Высшее,Село,2,Студент
34,Женский,53.7,Высшее,Город,2,Студент
30,Мужской,62.9,Высшее,Город,2,Работает
28,Мужской,34.9,Среднее,Село,0,Пенсионер
30,Мужской,43.0,Магистратура,Город,2,Работает
20,Женский,40.2,Высшее,Город,2,Студент
28,Женский,32.2,Высшее,Город,3,Работает
31,Мужской,55.2,Высшее,Город,3,Работает
37,Мужской,46.7,Магистратура,Город,3,Безработный
27,Мужской,49.8,Высшее,Город,2,Работает
25,Мужской,29.2,Среднее специальное,Город,2,Работает
27,Женский,36.9,Высшее,Город,0,Работает
34,Мужской,57.8,Высшее,Село,2,Безработный
31,Мужской,39.9,Высшее,Город,2,Студент
27,Мужской,69.4,Высшее,Город,2,Безработный
32,Мужской,40.0,Среднее,Город,0,Безработный
30,Женский,48.4,Среднее специальное,Город,0,Работает
34,Мужской,61.0,Магистратура,Город,2,Работает
26,Женский,21.7,Высшее,Город,1,Работает
28,Мужской,17.6,Высшее,Село,2,Работает
28,Мужской,21.1,Среднее специальное,Село,2,Безработный
22,Женский,59.9,Среднее специальное,Город,4,Студент
31,Мужской,37.2,Магистратура,Город,0,Безработный
31,Женский,83.9,Высшее,Город,1,Работает
30,Женский,36.5,Высшее,Село,0,Работает
28,Мужской,46.8,Среднее специальное,Село,0,Работает
22,Женский,64.1,Высшее,Город,0,Студент
27,Женский,73.6,Среднее специальное,Город,1,Безработный
28,Женский,74.9,Высшее,Село,2,Пенсионер
25,Женский,60.6,Среднее специальное,Город,0,Работает
29,Женский,59.9,Среднее специальное,Город,1,Студент
32,Женский,54.9,Высшее,Город,3,Работает
39,Женский,61.2,Магистратура,Город,1,Работает
30,Женский,36.7,Среднее,Село,3,Студент
31,Мужской,33.2,Высшее,Село,3,Работает
29,Мужской,44.4,Среднее специальное,Город,2,Безработный
20,Женский,37.4,Среднее специальное,Город,1,Студент
29,Мужской,37.7,Среднее,Город,1,Работает
30,Женский,55.4,Среднее специальное,Город,1,Студент
42,Женский,65.3,Высшее,Город,1,Работает
29,Мужской,45.8,Среднее,Город,0,Безработный
31,Женский,67.7,Среднее специальное,Город,2,Работает
29,Женский,27.4,Магистратура,Город,1,Работает
24,Женский,39.1,Среднее,Город,3,Работает
35,Женский,36.7,Высшее,Город,2,Работает
33,Мужской,18.5,Среднее специальное,Город,2,Работает
33,Женский,45.3,Высшее,Город,0,Работает
25,Женский,40.7,Среднее специальное,Село,2,Студент
37,Женский,71.2,Среднее,Город,1,Работает
22,Мужской,50.5,Среднее,Город,3,Студент
32,Женский,30.6,Среднее,Село,2,Работает
40,Мужской,77.8,Среднее,Село,0,Работает
25,Мужской,60.8,Высшее,Город,4,Безработный
27,Женский,52.2,Магистратура,Село,2,Студент
30,Женский,41.6,Высшее,Город,3,Работает
27,Мужской,29.1,Высшее,Город,0,Пенсионер
22,Женский,35.4,Среднее,Город,1,Студент
30,Мужской,61.3,Среднее специальное,Город,2,Работает
24,Мужской,70.3,Среднее специальное,Город,2,Безработный
32,Женский,69.1,Среднее специальное,Город,1,Работает
25,Женский,35.2,Высшее,Город,1,Безработный
37,Мужской,31.7,Высшее,Город,1,Пенсионер
26,Мужской,45.1,Среднее специальное,Город,2,Работает
28,Мужской,17.5,Среднее специальное,Город,3,Студент
34,Мужской,51.8,Высшее,Город,3,Пенсионер
23,Женский,39.3,Высшее,Село,1,Работает
31,Женский,38.5,Среднее специальное,Село,1,Работает
36,Женский,24.1,Магистратура,Село,1,Работает
21,Женский,48.2,Магистратура,Город,3,Студент
30,Женский,37.0,Среднее специальное,Село,3,Безработный
31,Мужской,28.0,Среднее специальное,Город,2,Работает
33,Женский,15.0,Высшее,Город,1,Работает
23,Женский,41.1,Магистратура,Город,0,Работает
23,Женский,68.1,Магистратура,Город,1,Работает
32,Женский,70.9,Среднее,Город,1,Работает
31,Женский,38.6,Среднее специальное,Город,1,Работает
31,Мужской,36.5,Высшее,Село,2,Работает
31,Мужской,52.5,Высшее,Город,3,Работает
26,Мужской,28.0,Среднее,Город,3,Работает
31,Женский,50.0,Магистратура,Село,1,Работает
31,Мужской,57.0,Высшее,Город,2,Безработный
26,Мужской,61.4,Высшее,Город,1,Работает
39,Женский,48.0,Магистратура,Город,2,Работает
32,Женский,42.9,Высшее,Город,0,Работает
24,Женский,28.8,Среднее специальное,Город,1,Работает
33,Мужской,34.1,Высшее,Город,0,Работает
25,Мужской,39.1,Среднее,Город,1,Работает
33,Женский,52.0,Высшее,Город,1,Работает
35,Женский,61.2,Среднее,Город,1,Пенсионер
25,Мужской,30.5,Высшее,Город,0,Пенсионер
34,Мужской,69.4,Среднее специальное,Город,2,Пенсионер
32,Женский,41.9,Среднее,Село,1,Безработный
34,Женский,46.7,Среднее,Город,3,Безработный
39,Мужской,38.3,Среднее,Город,0,Работает
28,Женский,15.0,Высшее,Город,1,Работает
26,Мужской,56.3,Высшее,Город,4,Работает
25,Мужской,53.6,Высшее,Город,1,Работает
25,Мужской,38.3,Среднее,Город,0,Пенсионер
29,Мужской,45.5,Среднее,Село,1,Работает
31,Женский,53.2,Среднее,Село,1,Работает
31,Женский,22.1,Среднее,Город,2,Работает
34,Мужской,39.1,Магистратура,Село,2,Работает
30,Мужской,56.9,Среднее специальное,Город,3,Безработный
37,Мужской,29.7,Среднее специальное,Город,3,Пенсионер
28,Мужской,48.4,Среднее,Город,2,Работает
43,Мужской,31.2,Среднее специальное,Город,1,Пенсионер
33,Женский,53.5,Высшее,Село,3,Работает
25,Женский,42.0,Высшее,Город,1,Пенсионер
24,Женский,17.8,Среднее специальное,Город,1,Работает
32,Женский,63.5,Среднее,Село,1,Работает
28,Мужской,33.0,Среднее специальное,Город,1,Работает
33,Мужской,34.3,Среднее специальное,Город,1,Безработный
32,Мужской,49.0,Среднее специальное,Город,0,Студент
29,Мужской,61.7,Магистратура,Село,3,Работает
25,Мужской,27.3,Высшее,Село,3,Работает
22,Женский,41.9,Высшее,Город,3,Студент
27,Мужской,49.9,Среднее специальное,Город,2,Работает
34,Женский,57.4,Среднее специальное,Город,1,Работает
31,Женский,48.1,Высшее,Село,1,Работает
23,Женский,36.0,Высшее,Город,1,Работает
30,Женский,32.6,Высшее,Город,2,Пенсионер
31,Мужской,46.8,Среднее,Село,0,Безработный
25,Женский,26.4,Высшее,Город,0,Работает
30,Женский,15.0,Среднее специальное,Город,2,Работает
30,Женский,51.5,Магистратура,Город,0,Пенсионер
24,Мужской,55.6,Высшее,Село,4,Работает
31,Мужской,15.0,Высшее,Город,0,Пенсионер
32,Мужской,30.9,Среднее,Город,0,Работает
35,Женский,56.8,Высшее,Город,1,Работает
35,Женский,78.4,Среднее,Город,1,Студент
23,Мужской,41.8,Среднее специальное,Город,4,Безработный
25,Женский,31.6,Среднее,Город,1,Работает
32,Мужской,43.3,Высшее,Село,1,Безработный
32,Мужской,66.6,Среднее специальное,Город,2,Работает
32,Женский,36.3,Среднее специальное,Город,1,Работает
49,Женский,42.5,Магистратура,Город,5,Студент
32,Женский,38.8,Среднее специальное,Город,3,Пенсионер
35,Женский,33.2,Высшее,Село,4,Работает
34,Мужской,48.8,Среднее специальное,Город,2,Работает
33,Мужской,70.9,Среднее,Город,1,Работает
28,Мужской,48.8,Высшее,Город,1,Работает
33,Мужской,42.7,Среднее,Город,2,Работает
26,Мужской,38.6,Среднее специальное,Город,1,Пенсионер
28,Женский,20.6,Высшее,Город,2,Работает
27,Мужской,56.7,Высшее,Село,2,Пенсионер
30,Мужской,43.8,Высшее,Село,1,Работает
41,Мужской,47.8,Среднее специальное,Город,1,Работает
20,Женский,87.9,Среднее,Село,1,Студент
33,Женский,51.0,Высшее,Город,3,Работает
21,Женский,29.2,Высшее,Город,1,Студент
27,Женский,37.1,Высшее,Город,2,Студент
35,Мужской,64.7,Высшее,Город,3,Работает
30,Мужской,46.7,Высшее,Город,1,Студент
24,Женский,20.4,Среднее специальное,Город,0,Работает
26,Женский,56.8,Среднее специальное,Город,3,Студент
33,Мужской,36.5,Высшее,Город,2,Работает
26,Мужской,71.1,Среднее специальное,Город,1,Студент
31,Женский,61.7,Среднее,Село,2,Работает
30,Женский,38.3,Магистратура,Город,0,Безработный
26,Женский,62.2,Магистратура,Город,0,Студент
40,Женский,51.0,Среднее специальное,Город,0,Работает
33,Мужской,59.3,Среднее,Город,2,Работает
19,Мужской,46.8,Среднее специальное,Село,0,Студент
30,Мужской,32.3,Высшее,Город,2,Студент
26,Женский,33.3,Магистратура,Город,1,Работает
34,Женский,62.4,Среднее специальное,Село,1,Работает
26,Мужской,38.0,Среднее,Город,3,Работает
29,Мужской,38.4,Магистратура,Город,1,Работает
32,Мужской,31.7,Среднее специальное,Город,1,Пенсионер
34,Мужской,53.4,Высшее,Село,0,Работает
23,Женский,72.4,Магистратура,Город,4,Работает
28,Мужской,28.0,Среднее,Город,0,Студент
27,Мужской,43.9,Высшее,Город,4,Работает
26,Мужской,64.2,Среднее,Город,1,Безработный
38,Мужской,47.8,Среднее специальное,Город,2,Работает
32,Мужской,52.8,Высшее,Город,1,Работает
23,Мужской,25.6,Среднее специальное,Город,1,Работает
34,Мужской,53.4,Магистратура,Село,1,Безработный
40,Женский,47.2,Высшее,Село,1,Работает
35,Женский,62.3,Среднее специальное,Город,1,Работает
22,Женский,58.8,Среднее специальное,Село,1,Студент
27,Женский,82.3,Среднее специальное,Город,0,Работает
36,Мужской,56.7,Среднее специальное,Город,3,Безработный
26,Женский,47.9,Среднее,Город,1,Работает
32,Женский,48.9,Среднее специальное,Село,0,Безработный
33,Мужской,41.2,Среднее специальное,Село,3,Работает
25,Мужской,47.6,Высшее,Город,1,Безработный
29,Женский,40.1,Высшее,Село,2,Работает
18,Женский,41.5,Высшее,Город,1,Студент
24,Мужской,61.8,Среднее,Село,2,Работает
28,Женский,28.9,Среднее специальное,Село,1,Безработный
23,Мужской,58.6,Высшее,Город,2,Работает
38,Мужской,68.8,Среднее специальное,Село,4,Пенсионер
22,Мужской,39.2,Среднее,Город,0,Студент
27,Мужской,15.0,Высшее,Город,1,Работает
30,Женский,35.9,Высшее,Город,0,Работает
37,Мужской,68.0,Высшее,Город,0,Работает
22,Мужской,40.7,Среднее,Село,2,Студент
35,Женский,32.5,Высшее,Город,0,Безработный
30,Мужской,37.4,Высшее,Город,1,Безработный
25,Женский,55.1,Высшее,Село,0,Работает
32,Женский,54.2,Высшее,Село,0,Работает
30,Женский,41.4,Высшее,Город,3,Работает
26,Мужской,37.5,Высшее,Село,3,Работает
30,Женский,39.1,Среднее,Город,1,Безработный
28,Женский,30.2,Высшее,Село,3,Работает
30,Мужской,69.2,Высшее,Город,1,Безработный
33,Женский,41.7,Высшее,Город,5,Работает
37,Женский,66.8,Среднее,Город,1,Работает
23,Женский,64.3,Среднее,Город,3,Работает
40,Женский,65.0,Магистратура,Город,1,Работает
20,Женский,33.5,Высшее,Город,2,Студент
29,Мужской,50.6,Магистратура,Город,1,Пенсионер
32,Женский,45.6,Высшее,Село,2,Пенсионер
31,Женский,31.9,Высшее,Город,0,Работает
26,Мужской,47.9,Высшее,Город,2,Работает
28,Мужской,26.3,Магистратура,Город,1,Работает
27,Мужской,61.3,Высшее,Город,1,Пенсионер
27,Женский,36.5,Высшее,Село,2,Работает
34,Мужской,50.0,Среднее,Село,1,Студент
31,Женский,49.7,Среднее специальное,Город,2,Работает
26,Женский,39.1,Высшее,Город,0,Работает
34,Мужской,55.8,Среднее специальное,Село,0,Студент
31,Мужской,38.4,Среднее специальное,Город,2,Работает
34,Женский,60.1,Среднее специальное,Село,1,Работает
33,Мужской,26.3,Среднее специальное,Город,1,Работает
25,Женский,44.4,Среднее специальное,Село,4,Работает
27,Мужской,72.6,Среднее специальное,Город,2,Работает
33,Мужской,31.5,Магистратура,Город,1,Безработный
33,Мужской,36.3,Высшее,Село,1,Безработный
29,Женский,52.2,Среднее,Город,1,Работает
30,Мужской,47.7,Среднее,Город,2,Студент
36,Женский,53.3,Высшее,Город,1,Работает
27,Женский,50.8,Среднее специальное,Город,3,Работает
32,Женский,55.5,Высшее,Город,0,Работает
28,Женский,60.6,Высшее,Город,0,Работает
28,Мужской,50.1,Высшее,Город,4,Работает
35,Женский,43.9,Среднее специальное,Город,2,Студент
34,Женский,57.1,Высшее,Село,2,Работает
34,Мужской,75.5,Среднее специальное,Город,1,Работает
36,Женский,46.0,Магистратура,Город,3,Работает
30,Мужской,30.4,Высшее,Город,3,Безработный
33,Женский,63.1,Среднее специальное,Город,2,Пенсионер
28,Мужской,42.2,Среднее специальное,Город,0,Работает
31,Женский,15.0,Среднее,Город,0,Работает
29,Мужской,57.2,Высшее,Город,0,Работает
30,Женский,37.0,Среднее специальное,Город,1,Работает
32,Женский,44.6,Высшее,Город,0,Работает
25,Мужской,47.5,Среднее специальное,Город,2,Работает
40,Мужской,52.9,Высшее,Город,0,Работает
24,Мужской,52.6,Высшее,Город,4,Работает
23,Мужской,35.0,Высшее,Город,0,Работает
35,Женский,55.2,Высшее,Город,0,Студент
33,Женский,42.6,Среднее,Село,0,Студент
33,Мужской,57.6,Среднее,Город,2,Работает
33,Женский,55.7,Высшее,Город,0,Работает
29,Мужской,30.5,Среднее специальное,Город,2,Работает
25,Мужской,58.8,Среднее специальное,Город,1,Работает
30,Женский,37.0,Среднее,Город,2,Безработный
40,Женский,62.1,Среднее специальное,Город,1,Работает
51,Женский,61.0,Среднее,Село,2,Пенсионер
43,Женский,79.1,Магистратура,Город,3,Студент
39,Женский,46.1,Среднее специальное,Село,0,Работает
42,Женский,45.8,Высшее,Город,3,Работает
47,Женский,53.2,Среднее,Город,3,Работает
41,Мужской,46.0,Высшее,Город,2,Работает
39,Мужской,61.5,Среднее специальное,Город,1,Работает
46,Мужской,28.8,Магистратура,Город,1,Работает
46,Мужской,37.2,Магистратура,Город,3,Пенсионер
41,Мужской,34.5,Среднее специальное,Город,2,Работает
41,Женский,64.8,Магистратура,Село,1,Работает
46,Мужской,78.7,Магистратура,Село,2,Работает
34,Мужской,45.4,Высшее,Город,0,Безработный
35,Мужской,45.0,Высшее,Город,0,Работает
39,Мужской,50.6,Среднее специальное,Город,3,Пенсионер
43,Мужской,68.9,Высшее,Город,1,Работает
47,Мужской,39.6,Среднее,Город,2,Работает
55,Мужской,61.1,Среднее,Город,1,Работает
51,Женский,70.1,Магистратура,Город,1,Работает
43,Женский,59.0,Среднее специальное,Город,1,Пенсионер
44,Мужской,54.8,Высшее,Село,4,Работает
37,Женский,63.5,Высшее,Город,0,Пенсионер
44,Женский,15.0,Магистратура,Село,1,Работает
42,Женский,61.2,Магистратура,Город,3,Работает
47,Женский,43.7,Среднее специальное,Город,0,Работает
39,Мужской,22.0,Среднее,Город,1,Работает
48,Женский,61.7,Среднее специальное,Город,1,Безработный
55,Женский,78.1,Среднее,Город,0,Пенсионер
44,Женский,49.9,Среднее,Город,3,Работает
47,Мужской,67.8,Среднее специальное,Город,0,Работает
49,Мужской,78.7,Высшее,Город,2,Работает
42,Мужской,70.7,Высшее,Город,0,Работает
46,Мужской,77.6,Среднее специальное,Город,2,Работает
45,Мужской,63.6,Высшее,Город,1,Работает
45,Мужской,53.6,Среднее специальное,Город,3,Работает
39,Мужской,25.5,Среднее,Город,3,Работает
45,Женский,48.8,Высшее,Город,2,Работает
48,Женский,41.4,Высшее,Село,3,Работает
55,Женский,90.1,Высшее,Город,2,Работает
51,Мужской,52.9,Среднее,Село,1,Работает
60,Мужской,61.8,Высшее,Город,0,Студент
39,Мужской,57.8,Высшее,Город,2,Работает
